ETABLISSEMENT;VILLE;UAI;COMPO;COM_CODE
Lycée Blaise Pascal;Clermont;0630018C;0630018C;63113
INSTITUT DE FORMATION EN SOINS INFIRMIERS;CLERMONT FERRAND ;0631541H;0631541H;63113
Université Blaise Pascal;Clermont Ferrand;0631525R;0631525R;63113
Lycée Blaise Pascal ;Clermont Ferrand;0630018C;0630018C;63113
ESC Clermont;Clermont ferrand ;0630109B;0630109B;63113
ufr staps clermont ferrand;clermont ferrand;0631525R;0630096M;63014
UFR Staps de l'université Blaise Pascal;Clermont ferrand;0631525R;0630096M;63014
EUM CLERMONT FERRAND;CLERMONT FERRAND;0631262E;0632006N;63113
ECOLE UNIVERSITAIRE DE MANAGEMENT;CLERMONT FERRAND;0631262E;0632006N;63113
SIGMA CLERMONT;Clermont Ferrand;0632033T;0632033T;63014
IUT de Clermont Ferrand ;Clermont-Ferrand;0631262E;0631021T;63014
ESC Clermont;Clermont-Ferrand;0630109B;0630109B;63113
UFR STAPS Clermont-Ferrand;Clermont-Ferrand;0631525R;0630096M;63014
Polytech Clermont-Ferrand;Clermont-Ferrand;0631525R;0631383L;63014
Université Blaise Pascal;Clermont-Ferrand;0631525R;0631525R;63113
Université d’Auvergne, Faculté de médecine ;Clermont-ferrand;0631262E;0631382K;63113
Esc clermont-ferrand;Clermont-Ferrand;0630109B;0630109B;63113
IUT d'Auvergne;Clermont-Ferrand;0631262E;0631021T;63014
SIGMA-Clermont;Clermont-Ferrand;0632033T;0632033T;63014
CUST-POLYTECH Clermont-Ferrand;Clermont-Ferrand;0631525R;0631383L;63014
Université d'Auvergne;Clermont-Ferrand;0631262E;0631262E;63113
Ecole Universitaire de Management - Université d'Auvergne;Clermont-Ferrand;0631262E;0632006N;63113
UFR STAPS;Clermont-Ferrand;0631525R;0630096M;63014
ENSAM (Arts et Métiers) ;Cluny;0753237L;0710091N;71137
CFA Marcel Rudloff;Colmar;0681498J;0681498J;68066
Lycée Martin Schongauer;Colmar;0681882B;0681882B;68066
Lycée Camille See;Colmar (68);0680008P;0681882B;68066
Lycée Martin Schongauer;Colmar (68);0681882B;0681882B;68066
UTC COMPIEGNE;Compiègne;0601223D;0601223D;60159
Université de Technologie de Compiègne;Compiègne;0601223D;0601223D;60159
ESCOM;Compiègne;0602099F;0602099F;60159
Université de Technlogie de Compiègne;Compiègne;0601223D;0601223D;60159
Université technologique de Compiègne;Compiègne;0601223D;0601223D;60159
École d'architecture de Constantine;Constantine;ETRANGERPU;ETRANGERPU;Constantine
École d'architecture de Constantine ;Constantine-ALGÉRIE ;ETRANGERPU;ETRANGERPU;Constantine
Cork Institute of Technology;Cork;ETRANGERPU;ETRANGERPU;Cork
Cork Institute of Technology Université Pierre Mendès France;CORK - GRENOBLE;0383493R;0381839T;38185
IUT di Corsica;Corte;7200664J;7200117P;2B096
Università di Corsica Pasquale Paoli;Corte;7200664J;7200664J;2B096
Université de Corse;Corte;7200664J;7200664J;2B096
Université de Corte;Corte;7200664J;7200664J;2B096
Institut d'Administration des Entreprises de Corte;CORTE;7200664J;7200701Z;2B096
Université de Corse Pascal Paoli;Corte;7200664J;7200664J;2B096
Université de Corse Pasquale Paoli;Corte;7200664J;7200664J;2B096
IUT Corse;Corte;7200664J;7200117P;2B096
Institut Universitaire de Technologie de Corte;Corte;7200664J;7200117P;2B096
IUT de Corse;Corte;7200664J;7200117P;2B096
Università di Corsica;Corte;7200664J;7200664J;2B096
Université Pascal Paoli;Corte;7200664J;7200664J;2B096
IAE de Corse;Corte;7200664J;7200701Z;2B096
Université de Corse;Corté;7200664J;7200664J;2B096
Institut de l'Internet et du Multimédia;Courbevoie;0922564M;0922564M;92026
ESILV;COURBEVOIE;0922563L;0922563L;92026
ESILV - École Supérieure d'Ingénieurs Léonard de Vinci;Courbevoie;0922563L;0922563L;92026
EDC BUSINESS SCHOOL;Courbevoie;0922007G;0922007G;92026
EDC PARIS BUSINESS SCHOOL;Courbevoie;0922007G;0922007G;92026
IUT de Lannion (FR)  / Coventry University (UK);Coventry (UK);0350936C;0221036G;22113
University of Coventry - Institut Marc Perrot;Coventry et Lyon;ETRANGERPU;ETRANGERPU;Coventry
UPEC;CRETEIL;0941111X;0941111X;94028
UNIVERSITE PARIS 12;CRETEIL;0941111X;0941111X;94028
Université Paris Est Creteil;Creteil;0941111X;0941111X;94028
Université Paris Est Créteil;Créteil;0941111X;0941111X;94028
UPEC;Créteil;0941111X;0941111X;94028
Université Paris-Est Créteil (UPEC);Créteil;0941111X;0941111X;94028
IAE Gustave Eiffel;Créteil;0941111X;;94028
ISBS Paris;Créteil;0941111X;;94028
Université Paris-Est Créteil - IAE Gustave Eiffel;Créteil;0941111X;;94028
ESIAG;Créteil;0941111X;0942027T;94028
UPEC - Université Paris-Est Créteil;Créteil;0941111X;0941111X;94028
UPEC - IFE Créteil;Créteil;0941111X;0942085F;94028
UPEC - Créteil;Créteil - Site Lieusaint Sénart;0941111X;0941111X;77251
ISEG;DAKAR;ETRANGERPR;ETRANGERPR;Dakar
Université de Bourgogne;DIJON;0211237F;0211237F;21231
Groupe ESC Dijon Bourgogne;Dijon;0210099U;0210099U;21231
UNIVERSITE DE DIJON;DIJON;0211237F;0211237F;21231
IAE DIJON;DIJON;0211237F;0212222B;21231
AgroSup Dijon;Dijon;0212198A;0212198A;21231
IAE de DIjon;DIJON;0211237F;0212222B;21231
ESEO ;Dijon;0490075R;0212195X;21231
ESC Dijon;Dijon;0210099U;0210099U;21231
iut de Dijon;Dijon;0211237F;0211139Z;21231
CFAI Sud Franche Comté;Dole;0391172M;0391172M;39198
